run_dir,model,dataset,config,Q,H,use_acceleration,test_mae,test_rmse,test_mape,num_params,epochs_trained,train_time_minutes,train_time_hours,best_val_mae,timestamp,metric_source
dcrnn_metr-la_Acc_NoSG_LSTM_Q12,DCRNN,metr-la,Acc_NoSG,12,12,True,4.6673078536987305,12.15888786315918,12.019547820091248,298049,57,68.36301662127177,1.1393836103545294,4.168885231018066,2025-10-31T06:01:14.501623,test_results
dcrnn_metr-la_Acc_NoSG_LSTM_Q3,DCRNN,metr-la,Acc_NoSG,3,12,True,2.191514015197754,6.490627765655518,5.406249687075615,298049,42,34.7179167509079,0.5786319458484649,2.053626298904419,2025-10-30T23:41:26.575862,test_results
dcrnn_metr-la_Acc_NoSG_LSTM_Q6,DCRNN,metr-la,Acc_NoSG,6,12,True,3.290644407272339,9.170368194580078,8.244448900222778,298049,45,39.98632185459137,0.6664386975765227,3.018836736679077,2025-10-31T02:17:47.795965,test_results
dcrnn_metr-la_Acc_SG_LSTM_Q12,DCRNN,metr-la,Acc_SG,12,12,True,4.435964584350586,11.471407890319824,11.41207590699196,298049,65,75.14454626242319,1.2524091043737198,3.952709674835205,2025-11-06T10:26:19.580132,test_results
dcrnn_metr-la_Acc_SG_LSTM_Q3,DCRNN,metr-la,Acc_SG,3,12,True,2.253503799438477,6.188475131988525,5.573621764779091,298049,18,20.230308922131854,0.3371718153688643,2.086383581161499,2025-11-06T06:45:46.171741,test_results
dcrnn_metr-la_Acc_SG_LSTM_Q6,DCRNN,metr-la,Acc_SG,6,12,True,3.1801977157592773,8.682497024536133,8.047547191381454,298049,47,44.88398448228836,0.7480664080381394,2.900744199752808,2025-11-06T09:11:06.204279,test_results
dcrnn_metr-la_NoAcc_LSTM_Q12,DCRNN,metr-la,NoAcc,12,12,False,5.305089950561523,13.102688789367676,13.782241940498352,297281,55,65.55633033911387,1.0926055056518975,4.727208614349365,2025-10-31T03:23:25.802800,test_results
dcrnn_metr-la_NoAcc_LSTM_Q3,DCRNN,metr-la,NoAcc,3,12,False,3.3913943767547607,8.764840126037598,8.394376188516617,297281,65,45.46267055273056,0.7577111758788426,3.1538121700286865,2025-10-30T22:23:08.840593,test_results
dcrnn_metr-la_NoAcc_LSTM_Q6,DCRNN,metr-la,NoAcc,6,12,False,4.130455017089844,10.634878158569336,10.424895584583282,297281,82,63.01896630525589,1.0503161050875982,3.7629952430725098,2025-10-31T00:44:31.446288,test_results
dcrnn_pems-bay_Acc_NoSG_LSTM_Q12,DCRNN,pems-bay,Acc_NoSG,12,12,True,1.922607660293579,4.418057441711426,4.126966372132301,298049,52,103.45411838293076,1.7242353063821794,2.023434638977051,2025-11-07T15:29:58.188549,test_results
